feature	X158846	X39948	X906	X1578	X1301	X1263	X216851	X292632	X572511	X33042	X841	X189330	X1485	X1730	X1678	X561	X838	X239759	X816	X375288	X239934
ERR260213	-2.81476029633286	-2.81476029633286	-2.81476029633286	-2.81476029633286	-2.81476029633286	15.8597251137938	15.0488536756807	15.7965325509957	-2.81476029633286	15.7711806249619	15.224876710441	14.5711699167613	-2.81476029633286	16.1360073816078	-2.81476029633286	-2.81476029633286	-2.81476029633286	-2.81476029633286	15.0257286862829	-2.81476029633286	14.4891798597852
ERR260214	-2.78203002738105	-2.78203002738105	-2.78203002738105	14.1510410247672	16.3301014640019	-2.78203002738105	-2.78203002738105	-2.78203002738105	15.3376442810828	-2.78203002738105	-2.78203002738105	14.1750173661019	15.1740532635849	15.9051832126482	14.6765464123296	-2.78203002738105	-2.78203002738105	-2.78203002738105	-2.78203002738105	-2.78203002738105	16.5298205482531
ERR260229	-2.78663887063516	14.6424293829486	-2.78663887063516	-2.78663887063516	-2.78663887063516	16.3147469762498	-2.78663887063516	14.2215226673384	14.5803895945621	-2.78663887063516	14.536172338739	-2.78663887063516	-2.78663887063516	15.2307139947062	-2.78663887063516	14.6632078610413	-2.78663887063516	-2.78663887063516	16.9555870271067	-2.78663887063516	15.4005348184307
ERR260235	-2.82212653199005	15.3971550412265	-2.82212653199005	-2.82212653199005	15.2277296469084	16.2518997158423	15.1822733387708	-2.82212653199005	14.8632862980525	-2.82212653199005	-2.82212653199005	-2.82212653199005	-2.82212653199005	15.3755506633473	15.9170443133285	-2.82212653199005	-2.82212653199005	-2.82212653199005	14.8787652909959	-2.82212653199005	15.1904957590405
ERR260238	-2.79909329005961	14.6920063195815	-2.79909329005961	-2.79909329005961	-2.79909329005961	15.8502040089616	14.1503581475967	-2.79909329005961	14.5277328594273	-2.79909329005961	15.1581271860881	14.6386493387937	-2.79909329005961	16.932255385586	-2.79909329005961	16.0164431540708	-2.79909329005961	-2.79909329005961	15.1897948128149	-2.79909329005961	-2.79909329005961
ERR260239	-2.79792867983596	-2.79792867983596	-2.79792867983596	-2.79792867983596	15.2658985470916	15.0307796692564	14.6358564747036	15.8003709222028	-2.79792867983596	-2.79792867983596	-2.79792867983596	15.0926603860732	-2.79792867983596	16.2203735471498	15.1826411774644	-2.79792867983596	14.5764921872729	-2.79792867983596	15.2934324007471	-2.79792867983596	-2.79792867983596
ERR260240	-2.77313391953743	14.9219012658912	-2.77313391953743	-2.77313391953743	-2.77313391953743	16.8825588908714	14.7540689150421	14.444730051627	14.7882104814024	14.3166985608467	14.1872356069901	-2.77313391953743	-2.77313391953743	16.4816248335016	-2.77313391953743	-2.77313391953743	-2.77313391953743	-2.77313391953743	15.1065334511615	-2.77313391953743	-2.77313391953743
ERR260241	-2.77520136273141	-2.77520136273141	-2.77520136273141	-2.77520136273141	-2.77520136273141	16.469093267421	-2.77520136273141	15.9197798252204	14.5446256123119	-2.77520136273141	-2.77520136273141	-2.77520136273141	-2.77520136273141	14.304831237722	-2.77520136273141	-2.77520136273141	-2.77520136273141	-2.77520136273141	14.2794699232404	-2.77520136273141	15.6667025774625
ERR260261	-2.80408799045741	14.7758825037422	-2.80408799045741	-2.80408799045741	-2.80408799045741	15.5361633152174	-2.80408799045741	15.5424606379729	14.8659541836649	-2.80408799045741	-2.80408799045741	-2.80408799045741	15.1507421046757	16.5276659014203	-2.80408799045741	-2.80408799045741	-2.80408799045741	14.3777144799436	16.4191950598433	-2.80408799045741	-2.80408799045741
ERR260270	-2.81440659129879	14.7170780486589	-2.81440659129879	-2.81440659129879	-2.81440659129879	15.5252983539526	15.7044438854908	16.2337461716783	-2.81440659129879	14.1938411749833	-2.81440659129879	-2.81440659129879	-2.81440659129879	15.3324844790697	15.1501623989302	-2.81440659129879	-2.81440659129879	-2.81440659129879	16.5341495266911	-2.81440659129879	14.5147189341858
ERR260271	-2.82972595782719	15.0325884847562	-2.82972595782719	-2.82972595782719	-2.82972595782719	-2.82972595782719	15.9442068858104	16.3529281622824	14.7010333336205	15.6620095398046	-2.82972595782719	15.0140338923388	-2.82972595782719	15.4307825245765	15.2313269294851	-2.82972595782719	-2.82972595782719	-2.82972595782719	15.2876621808579	-2.82972595782719	-2.82972595782719
ERR260273	-2.81807149578314	14.9887722177973	-2.81807149578314	-2.81807149578314	-2.81807149578314	15.2180461774903	16.3514418184794	15.5585413769027	-2.81807149578314	-2.81807149578314	-2.81807149578314	14.7540379339504	-2.81807149578314	15.2802211764226	15.2163716166957	-2.81807149578314	-2.81807149578314	-2.81807149578314	15.2637784463185	-2.81807149578314	-2.81807149578314
ERR260274	-2.80371109226931	-2.80371109226931	-2.80371109226931	-2.80371109226931	-2.80371109226931	15.6819143496946	14.2466077324616	15.4700415047907	14.106675515967	16.6374185803193	-2.80371109226931	14.1192073178563	-2.80371109226931	16.1211633386909	-2.80371109226931	-2.80371109226931	-2.80371109226931	-2.80371109226931	15.5480417887973	-2.80371109226931	-2.80371109226931
ERR260276	-2.81188235006877	-2.81188235006877	-2.81188235006877	-2.81188235006877	16.3112422313024	-2.81188235006877	-2.81188235006877	14.5539493986719	15.1076491525592	-2.81188235006877	-2.81188235006877	-2.81188235006877	14.589552612009	16.2975509371551	14.7840585344642	15.4898470622852	-2.81188235006877	-2.81188235006877	16.2232864978609	-2.81188235006877	-2.81188235006877
ERR275252	-2.81451723651677	-2.81451723651677	-2.81451723651677	-2.81451723651677	-2.81451723651677	15.6559531814524	15.3699271304244	14.7967454198763	14.7064201347267	14.7457118708722	15.9338472452296	14.6465320126473	-2.81451723651677	16.3063160977131	-2.81451723651677	-2.81451723651677	-2.81451723651677	-2.81451723651677	15.7498914963795	-2.81451723651677	-2.81451723651677
