feature	X158846	X39948	X906	X1578	X1301	X1263	X216851	X292632	X572511	X33042	X841	X189330	X1485	X1730	X1678	X561	X838	X239759	X816	X375288	X239934
ERR260194	-3.55137189889822	14.1405179271284	-3.55137189889822	-3.55137189889822	-3.55137189889822	15.3691685685108	14.0802343162806	13.8956141074201	14.6201716292109	-3.55137189889822	-3.55137189889822	14.6887409616757	-3.55137189889822	15.7402674311157	14.5291313664943	-3.55137189889822	-3.55137189889822	-3.55137189889822	-3.55137189889822	-3.55137189889822	-3.55137189889822
ERR260196	-3.54021180859476	-3.54021180859476	-3.54021180859476	-3.54021180859476	-3.54021180859476	14.9376240253031	14.6633422587932	14.6562748449204	13.8599115615498	14.2502928168629	-3.54021180859476	-3.54021180859476	-3.54021180859476	14.4164903351172	-3.54021180859476	-3.54021180859476	-3.54021180859476	14.3315710227466	15.7865759931962	-3.54021180859476	-3.54021180859476
ERR260198	-3.56096750732793	14.3775252952064	-3.56096750732793	-3.56096750732793	13.9827586198983	15.0568823623769	15.1193815703341	14.6684534647353	14.3541471074366	-3.56096750732793	-3.56096750732793	14.1058963294808	-3.56096750732793	15.0065371496997	-3.56096750732793	-3.56096750732793	-3.56096750732793	-3.56096750732793	15.0842158719654	-3.56096750732793	-3.56096750732793
ERR260199	-3.56060631453082	-3.56060631453082	-3.56060631453082	-3.56060631453082	-3.56060631453082	15.1838015119499	14.589228510198	15.646702850113	-3.56060631453082	14.774320454298	-3.56060631453082	-3.56060631453082	-3.56060631453082	14.8194597155005	15.1087999616233	-3.56060631453082	-3.56060631453082	13.6367591259243	14.2405624135452	-3.56060631453082	13.7427990944881
ERR260201	-3.4807125444369	-3.4807125444369	-3.4807125444369	-3.4807125444369	-3.4807125444369	16.051187356621	-3.4807125444369	13.0035112973915	15.096236643867	12.735580115422	-3.4807125444369	13.037674922868	13.4274210806936	15.5058557132837	-3.4807125444369	-3.4807125444369	-3.4807125444369	-3.4807125444369	14.271747769987	-3.4807125444369	15.6571492440312
ERR260202	-3.56943475719747	14.7267411717222	-3.56943475719747	14.3643273174372	-3.56943475719747	14.7565803102137	14.5609458367938	14.8664793772443	-3.56943475719747	-3.56943475719747	-3.56943475719747	14.1225338235088	-3.56943475719747	15.4191983628596	14.3772391714413	-3.56943475719747	-3.56943475719747	-3.56943475719747	14.8750406450855	-3.56943475719747	-3.56943475719747
ERR260203	-3.57581070115343	-3.57581070115343	-3.57581070115343	-3.57581070115343	-3.57581070115343	14.989584925178	14.3781889039641	14.8624643610255	-3.57581070115343	15.1101914766816	-3.57581070115343	-3.57581070115343	-3.57581070115343	14.4528624892266	-3.57581070115343	14.9112849368223	-3.57581070115343	-3.57581070115343	14.4906934183168	-3.57581070115343	14.4898180811117
ERR260206	-3.5013675513462	-3.5013675513462	-3.5013675513462	-3.5013675513462	-3.5013675513462	14.7208086061019	14.8030759728106	16.1323755643654	13.6532806058633	13.3286185720608	-3.5013675513462	-3.5013675513462	-3.5013675513462	14.4749211837776	-3.5013675513462	-3.5013675513462	14.5277835483086	13.424845519178	14.4848898273432	-3.5013675513462	-3.5013675513462
ERR260207	-3.5562245087281	14.7004621122811	-3.5562245087281	-3.5562245087281	-3.5562245087281	15.4934008435428	14.9718566778156	-3.5562245087281	-3.5562245087281	15.0194922458876	14.0829913921278	14.1402620662228	-3.5562245087281	15.3970707535274	14.0063660364951	-3.5562245087281	-3.5562245087281	-3.5562245087281	-3.5562245087281	-3.5562245087281	-3.5562245087281
ERR260208	-3.54463757371889	-3.54463757371889	-3.54463757371889	-3.54463757371889	-3.54463757371889	15.0036269193903	14.6111266645675	14.963367007569	13.5037464238014	-3.54463757371889	14.5070266817676	-3.54463757371889	15.186596693088	14.8216007224634	-3.54463757371889	-3.54463757371889	-3.54463757371889	13.0981807481691	15.4563183667825	-3.54463757371889	-3.54463757371889
ERR260210	-3.55017946087357	13.689704527307	13.8615441510331	-3.55017946087357	-3.55017946087357	15.3858904838687	13.6473490912024	14.6247720982465	-3.55017946087357	15.0725601137262	-3.55017946087357	-3.55017946087357	-3.55017946087357	15.3820726347206	15.2184502733786	-3.55017946087357	-3.55017946087357	-3.55017946087357	14.474296678839	-3.55017946087357	-3.55017946087357
ERR260213	-3.54904559102839	-3.54904559102839	-3.54904559102839	-3.54904559102839	-3.54904559102839	15.1254398190982	14.3145683809852	15.0622472563002	-3.54904559102839	15.0368953302664	14.4905914157454	13.8368846220658	-3.54904559102839	15.4017220869123	-3.54904559102839	-3.54904559102839	-3.54904559102839	-3.54904559102839	14.2914433915873	-3.54904559102839	13.7548945650897
ERR260214	-3.50777699104567	-3.50777699104567	-3.50777699104567	13.4252940611026	15.6043545003373	-3.50777699104567	-3.50777699104567	-3.50777699104567	14.6118973174181	-3.50777699104567	-3.50777699104567	13.4492704024372	14.4483062999203	15.1794362489835	13.950799448665	-3.50777699104567	-3.50777699104567	-3.50777699104567	-3.50777699104567	-3.50777699104567	15.8040735845884
ERR260229	-3.51358814123564	13.9154801123482	-3.51358814123564	-3.51358814123564	-3.51358814123564	15.5877977056494	-3.51358814123564	13.4945733967379	13.8534403239616	-3.51358814123564	13.8092230681385	-3.51358814123564	-3.51358814123564	14.5037647241057	-3.51358814123564	13.9362585904408	-3.51358814123564	-3.51358814123564	16.2286377565063	-3.51358814123564	14.6735855478303
ERR260235	-3.55833345337876	14.6609481198378	-3.55833345337876	-3.55833345337876	14.4915227255197	15.5156927944536	14.4460664173821	-3.55833345337876	14.1270793766638	-3.55833345337876	-3.55833345337876	-3.55833345337876	-3.55833345337876	14.6393437419586	15.1808373919398	-3.55833345337876	-3.55833345337876	-3.55833345337876	14.1425583696072	-3.55833345337876	14.4542888376518
ERR260238	-3.52929153964037	13.9618080700007	-3.52929153964037	-3.52929153964037	-3.52929153964037	15.1200057593809	13.420159898016	-3.52929153964037	13.7975346098465	-3.52929153964037	14.4279289365073	13.9084510892129	-3.52929153964037	16.2020571360052	-3.52929153964037	15.2862449044901	-3.52929153964037	-3.52929153964037	14.4595965632342	-3.52929153964037	-3.52929153964037
ERR260239	-3.52782311805403	-3.52782311805403	-3.52782311805403	-3.52782311805403	14.5360041088735	14.3008852310384	13.9059620364856	15.0704764839847	-3.52782311805403	-3.52782311805403	-3.52782311805403	14.3627659478551	-3.52782311805403	15.4904791089317	14.4527467392464	-3.52782311805403	13.8465977490548	-3.52782311805403	14.5635379625291	-3.52782311805403	-3.52782311805403
ERR260240	-3.49656015941676	14.1984750260118	-3.49656015941676	-3.49656015941676	-3.49656015941676	16.159132650992	14.0306426751627	13.7213038117477	14.0647842415231	13.5932723209674	13.4638093671108	-3.49656015941676	-3.49656015941676	15.7581985936223	-3.49656015941676	-3.49656015941676	-3.49656015941676	-3.49656015941676	14.3831072112822	-3.49656015941676	-3.49656015941676
ERR260241	-3.49916693561787	-3.49916693561787	-3.49916693561787	-3.49916693561787	-3.49916693561787	15.7451276945345	-3.49916693561787	15.195814252334	13.8206600394255	-3.49916693561787	-3.49916693561787	-3.49916693561787	-3.49916693561787	13.5808656648355	-3.49916693561787	-3.49916693561787	-3.49916693561787	-3.49916693561787	13.555504350354	-3.49916693561787	14.942737004576
ERR260261	-3.53558920535935	14.0443812888403	-3.53558920535935	-3.53558920535935	-3.53558920535935	14.8046621003155	-3.53558920535935	14.8109594230709	14.134452968763	-3.53558920535935	-3.53558920535935	-3.53558920535935	14.4192408897738	15.7961646865184	-3.53558920535935	-3.53558920535935	-3.53558920535935	13.6462132650417	15.6876938449414	-3.53558920535935	-3.53558920535935
