feature	X218538	X33039	X360807	X751585	X39491	X88431	X39488	X457412	X40518	X853	X39485	X1680	X216816	X562	X165179	X47678	X817	X818	X820	X821	X357276	X46506	X28116	X204516	X28117	X239935
ERR260238	0.0342738836533722	0.0198167270124238	-0.00443891207014882	-0.00443891207014882	0.295307838584673	0.0291102675297842	-0.00443891207014882	0.0235282358118534	0.0880146460181858	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882	0.1199100760203	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882	0.0416623067907069	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882	-0.00443891207014882
ERR260239	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	0.112905367455822	0.0403510071513037	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	0.0339468279905426	0.0278152136489251	-0.00264851882554571	-0.00264851882554571	0.0314109170524357	0.0318735769394867	-0.00264851882554571	0.0544547101584134	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571	-0.00264851882554571
ERR260240	0.0431274947088204	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	0.127475213349345	-0.00413884235893597	0.0539062671390896	0.162015222022842	0.0908567425110458	0.0359689771990804	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	0.033289399893188	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597	-0.00413884235893597
ERR260241	-0.00360842290847251	0.0196520426975783	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	0.0115003623898023	-0.00360842290847251	0.201674166855995	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	-0.00360842290847251	0.0936498581138682
ERR260261	0.0387411158316201	0.0226909809811246	-0.00349466282470154	-0.00349466282470154	0.191432113326649	-0.00349466282470154	-0.00349466282470154	-0.00349466282470154	0.0671160725477329	-0.00349466282470154	-0.00349466282470154	-0.00349466282470154	-0.00349466282470154	-0.00349466282470154	-0.00349466282470154	0.0192930145769633	-0.00349466282470154	-0.00349466282470154	0.0626171824890448	-0.00349466282470154	0.0861605577949502	-0.00349466282470154	-0.00349466282470154	-0.00349466282470154	-0.00349466282470154	-0.00349466282470154
ERR260270	0.0368735472743947	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	0.0239602352723384	-0.00340295449173737	0.0423115322463966	-0.00340295449173737	0.0841322602709256	0.101240804357288	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	0.135428119977688	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	-0.00340295449173737	0.0296152938530606
ERR260271	0.0529275440854659	-0.00270988586692758	-0.00270988586692758	0.0670555138099328	-0.00270988586692758	0.0441371535625822	0.0309662537386953	-0.00270988586692758	-0.00270988586692758	0.13039429051373	0.039224641559028	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758	-0.00270988586692758
ERR260273	0.0495357579285123	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	0.0328003969561894	0.0416836571203179	0.0371536876458032	-0.00317717829055048	0.188643287348975	-0.00317717829055048	0.0275340664301054	0.0227139353226572	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048	-0.00317717829055048
ERR260274	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	0.0459813878261794	-0.00386440944271167	0.0439099055933292	0.0725800167894326	0.0230384416967131	0.0212198337674499	0.0470297302932191	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	0.0495858320610013	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167	-0.00386440944271167
ERR260276	-0.00391633212327839	0.0455166729986738	-0.00391633212327839	-0.00391633212327839	0.117840132332327	-0.00391633212327839	0.0632018899726724	-0.00391633212327839	-0.00391633212327839	-0.00391633212327839	-0.00391633212327839	-0.00391633212327839	-0.00391633212327839	0.0811461553476081	-0.00391633212327839	0.0433886344479138	-0.00391633212327839	-0.00391633212327839	0.0722780262978635	-0.00391633212327839	0.0224594485105298	-0.00391633212327839	-0.00391633212327839	-0.00391633212327839	-0.00391633212327839	-0.00391633212327839
ERR275252	-0.00349250113747844	-0.00349250113747844	0.065212795670505	-0.00349250113747844	0.149232877716469	0.0282815156065878	-0.00349250113747844	0.0649305280201683	-0.00349250113747844	0.0725045569977814	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	0.0508594059217418	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844	-0.00349250113747844
SRR1778452	-0.0030407364291225	0.0651189080205748	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	0.0284642290600258	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	0.0679379087701465	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225	-0.0030407364291225
SRR1778453	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	0.0304751597666439	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	0.109750095826684	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412	-0.00419714813346412
